Officeholder - Name,Officeholder,Legislative sessions,Basic title,District represented (if position is district-related),To,Jurisdiction of office,Appointed By (if Position is Appointed),Governmental body (if position is part of one),From
Barack Obama,,President,,Barack Obama,,United States of America,,,2009-01-20
George W. Bush,,President,,George W. Bush,2009-01-20,United States of America,,,2001-01-20
Bill Clinton,,President,,Bill Clinton,2001-01-20,United States of America,,,1993-01-20
George H. W. Bush,,President,,George H. W. Bush,1993-01-20,United States of America,,,1989-01-20
Ronald Reagan,,President,,Ronald Reagan,1989-01-20,United States of America,,,1981-01-20
Jimmy Carter,,President,,Jimmy Carter,1981-01-20,United States of America,,,1977-01-20
Gerald Ford,,President,,Gerald Ford,1977-01-20,United States of America,,,1974-08-09
Richard Nixon,,President,,Richard Nixon,1974-08-09,United States of America,,,1969-01-20
Lyndon B. Johnson,,President,,Lyndon B. Johnson,1969-01-20,United States of America,,,1963-11-22
John F. Kennedy,,President,,John F. Kennedy,1963-11-22,United States of America,,,1961-01-20
Dwight D. Eisenhower,,President,,Dwight D. Eisenhower,1961-01-20,United States of America,,,1953-01-20
Harry S. Truman,,President,,Harry S. Truman,1953-01-20,United States of America,,,1945-04-12
Franklin D. Roosevelt,,President,,Franklin D. Roosevelt,1945-04-12,United States of America,,,1933-03-04
Herbert Hoover,,President,,Herbert Hoover,1933-03-04,United States of America,,,1929-03-04
Calvin Coolidge,,President,,Calvin Coolidge,1929-03-04,United States of America,,,1923-08-02
Warren G. Harding,,President,,Warren G. Harding,1923-08-02,United States of America,,,1921-03-04
Woodrow Wilson,,President,,Woodrow Wilson,1921-03-04,United States of America,,,1913-03-04
William Howard Taft,,President,United States of America,William Howard Taft,1913-03-04,United States of America,,,1909-03-04
Theodore Roosevelt,,President,United States of America,Theodore Roosevelt,1909-03-04,United States of America,,,1901-09-14
William McKinley,,President,United States of America,William McKinley,1901-09-14,United States of America,,,1897-03-04
Grover Cleveland,,President,,Grover Cleveland,1897-03-04,United States of America,,,1893-03-04
Benjamin Harrison,,President,,Benjamin Harrison,1893-03-04,United States of America,,,1889-03-04
Grover Cleveland,,President,,Grover Cleveland,1889-03-04,United States of America,,,1885-03-04
Chester A. Arthur,,President,,Chester A. Arthur,1885-03-04,United States of America,,,1881-09-19
James Garfield,,President,United States of America,James Garfield,1881-09-19,United States of America,,,1881-03-05
Rutherford B. Hayes,,President,United States of America,Rutherford B. Hayes,1881-03-04,United States of America,,,1877-03-04
Ulysses S. Grant,,President,United States of America,Ulysses S. Grant,1877-03-04,United States of America,,,1869-03-04
Andrew Johnson,,President,,Andrew Johnson,1869-03-04,United States of America,,,1865-04-15
Abraham Lincoln,,President,,Abraham Lincoln,1865-04-15,United States of America,,,1861-03-04
James Buchanan,,President,,James Buchanan,1861-03-04,United States of America,,,1857-03-04
Franklin Pierce,,President,,Franklin Pierce,1857-03-04,United States of America,,,1853-03-04
Millard Fillmore,,President,,Millard Fillmore,1853-03-04,United States of America,,,1850-07-09
Zachary Taylor,,President,United States of America,Zachary Taylor,1850-07-09,United States of America,,,1849-03-04
James K. Polk,,President,,James K. Polk,1849-03-03,United States of America,,,1845-03-04
John Tyler,,President,,John Tyler,1845-03-04,United States of America,,,1841-04-04
William Henry Harrison,,President,United States of America,William Henry Harrison,1841-04-04,United States of America,,,1841-03-04
Martin Van Buren,,President,,Martin Van Buren,1841-03-04,United States of America,,,1837-03-04
Andrew Jackson,,President,,Andrew Jackson,1837-03-04,United States of America,,,1829-03-04
John Quincy Adams,,President,,John Quincy Adams,1829-03-04,United States of America,,,1825-03-04
James Monroe,,President,,James Monroe,1825-03-04,United States of America,,,1817-03-04
James Madison,,President,,James Madison,1817-03-04,United States of America,,,1809-03-04
Thomas Jefferson,,President,United States of America,Thomas Jefferson,1809-03-04,United States of America,,,1801-03-04
John Adams,,President,,John Adams,1801-03-04,United States of America,,,1797-03-04
George Washington,,President,,George Washington,1797-03-04,United States of America,,,1789-04-30
