"Table 1.3—SUMMARY OF RECEIPTS, OUTLAYS, AND SURPLUSES OR DEFICITS (–) IN CURRENT DOLLARS, CONSTANT (FY 2005) DOLLARS, AND AS PERCENTAGES OF GDP: 1940–2017",,,,,,,,,,
"(dollar amounts in billions)",,,,,,,,,,
"Fiscal Year","In Current Dollars",,,"In Constant (FY 2005) Dollars",,,"Addendum: Composite Deflator","As Percentages of GDP",,
,"Receipts","Outlays","Surplus or Deficit (–)","Receipts","Outlays","Surplus or Deficit (–)",,"Receipts","Outlays","Surplus or Deficit (–)"
"1940",6.5,9.5,-2.9,81.4,117.8,-36.3,0.0804,6.8,9.8,-3.0
"1941",8.7,13.7,-4.9,104.2,163.3,-59.1,0.0836,7.6,12.0,-4.3
"1942",14.6,35.1,-20.5,156.3,375.4,-219.1,0.0936,10.1,24.3,-14.2
"1943",24.0,78.6,-54.6,233.9,765.6,-531.7,0.1026,13.3,43.6,-30.3
"1944",43.7,91.3,-47.6,461.0,962.1,-501.1,0.0949,20.9,43.6,-22.7
"1945",45.2,92.7,-47.6,499.0,"1,024.4",-525.4,0.0905,20.4,41.9,-21.5
"1946",39.3,55.2,-15.9,433.7,609.6,-175.9,0.0906,17.7,24.8,-7.2
"1947",38.5,34.5,4.0,385.1,345.0,40.2,0.1000,16.5,14.8,1.7
"1948",41.6,29.8,11.8,392.8,281.3,111.5,0.1058,16.2,11.6,4.6
"1949",39.4,38.8,0.6,384.9,379.2,5.7,0.1024,14.5,14.3,0.2
"1950",39.4,42.6,-3.1,370.4,399.6,-29.3,0.1065,14.4,15.6,-1.1
"1951",51.6,45.5,6.1,493.0,434.7,58.3,0.1047,16.1,14.2,1.9
"1952",66.2,67.7,-1.5,635.0,649.6,-14.6,0.1042,19.0,19.4,-0.4
"1953",69.6,76.1,-6.5,619.3,677.1,-57.8,0.1124,18.7,20.4,-1.7
"1954",69.7,70.9,-1.2,599.3,609.2,-9.9,0.1163,18.5,18.8,-0.3
"1955",65.5,68.4,-3.0,544.1,568.9,-24.9,0.1203,16.5,17.3,-0.8
"1956",74.6,70.6,3.9,590.6,559.3,31.2,0.1263,17.5,16.5,0.9
"1957",80.0,76.6,3.4,602.8,577.1,25.7,0.1327,17.7,17.0,0.8
"1958",79.6,82.4,-2.8,566.8,586.5,-19.7,0.1405,17.3,17.9,-0.6
"1959",79.2,92.1,-12.8,542.4,630.4,-87.9,0.1461,16.2,18.8,-2.6
"1960",92.5,92.2,0.3,630.5,628.4,2.0,0.1467,17.8,17.8,0.1
"1961",94.4,97.7,-3.3,626.3,648.5,-22.1,0.1507,17.8,18.4,-0.6
"1962",99.7,106.8,-7.1,659.7,707.0,-47.3,0.1511,17.6,18.8,-1.3
"1963",106.6,111.3,-4.8,674.9,705.0,-30.1,0.1579,17.8,18.6,-0.8
"1964",112.6,118.5,-5.9,703.8,740.8,-37.0,0.1600,17.6,18.5,-0.9
"1965",116.8,118.2,-1.4,720.6,729.4,-8.7,0.1621,17.0,17.2,-0.2
"1966",130.8,134.5,-3.7,788.6,810.9,-22.3,0.1659,17.3,17.8,-0.5
"1967",148.8,157.5,-8.6,875.4,926.3,-50.8,0.1700,18.4,19.4,-1.1
"1968",153.0,178.1,-25.2,866.7,"1,009.3",-142.6,0.1765,17.6,20.5,-2.9
"1969",186.9,183.6,3.2,993.5,976.3,17.2,0.1881,19.7,19.4,0.3
"1970",192.8,195.6,-2.8,967.9,982.2,-14.3,0.1992,19.0,19.3,-0.3
"1971",187.1,210.2,-23.0,877.4,985.3,-108.0,0.2133,17.3,19.5,-2.1
"1972",207.3,230.7,-23.4,908.1,"1,010.4",-102.4,0.2283,17.6,19.6,-2.0
"1973",230.8,245.7,-14.9,956.5,"1,018.3",-61.8,0.2413,17.6,18.7,-1.1
